Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Sublette County, WY",Jun-16,$235K,-6.40%,-25.40%,7,-30.00%,40.00%,11,22.20%,-42.10%,58,3.60%,-9.40%,107,-13,-128,80.00%,5.60%,
"Sublette County, WY",Jul-16,$341K,45.20%,20.00%,7,0.00%,-50.00%,12,9.10%,-14.30%,63,8.60%,-7.40%,71,-36,-213,,,
"Sublette County, WY",Aug-16,$240K,-29.70%,-15.80%,5,-28.60%,-66.70%,12,0.00%,0.00%,69,9.50%,11.30%,109,38,49,,,
"Sublette County, WY",Sep-16,$239K,-0.50%,-4.30%,14,180.00%,0.00%,4,-66.70%,0.00%,60,-13.00%,11.10%,167,58,11,,,
"Sublette County, WY",Oct-16,$249K,4.30%,25.10%,7,-50.00%,-50.00%,11,175.00%,175.00%,65,8.30%,41.30%,176,9,78,,,
"Sublette County, WY",Nov-16,$240K,-3.60%,20.10%,12,71.40%,71.40%,9,-18.20%,800.00%,63,-3.10%,65.80%,208,32,86,96.90%,,-3.10%
"Sublette County, WY",Dec-16,$234K,-2.30%,51.30%,8,-33.30%,60.00%,4,-55.60%,-20.00%,57,-9.50%,54.10%,138,-70,-199,,,
"Sublette County, WY",Jan-17,$220K,-6.20%,-15.10%,7,-12.50%,133.30%,9,125.00%,12.50%,59,3.50%,43.90%,179,41,-39,,,
"Sublette County, WY",Feb-17,$212K,-3.60%,-16.90%,10,42.90%,400.00%,5,-44.40%,-28.60%,56,-5.10%,21.70%,179,0,-392,,,
"Sublette County, WY",Mar-17,$180K,-15.20%,8.90%,8,-20.00%,166.70%,19,280.00%,137.50%,68,21.40%,41.70%,258,79,38,,,
"Sublette County, WY",Apr-17,$250K,38.80%,-18.20%,9,12.50%,28.60%,13,-31.60%,-13.30%,69,1.50%,16.90%,249,-9,-60,,,
"Sublette County, WY",May-17,$233K,-6.60%,-7.20%,15,66.70%,50.00%,16,23.10%,77.80%,71,2.90%,26.80%,73,-176,-47,76.80%,,2.40%
"Sublette County, WY",Jun-17,$246K,5.40%,4.50%,13,-13.30%,85.70%,14,-12.50%,27.30%,72,1.40%,24.10%,100,27,-7,90.60%,13.80%,10.60%
"Sublette County, WY",Jul-17,$235K,-4.40%,-31.20%,10,-23.10%,42.90%,15,7.10%,25.00%,76,5.60%,20.60%,64,-36,-7,,,
"Sublette County, WY",Aug-17,$235K,0.10%,-2.10%,17,70.00%,240.00%,18,20.00%,50.00%,75,-1.30%,8.70%,111,47,2,,,
"Sublette County, WY",Sep-17,$274K,16.50%,14.70%,12,-29.40%,-14.30%,10,-44.40%,150.00%,74,-1.30%,23.30%,161,50,-6,97.20%,,
"Sublette County, WY",Oct-17,$230K,-16.00%,-7.60%,13,8.30%,85.70%,8,-20.00%,-27.30%,71,-4.10%,9.20%,103,-58,-73,,,
"Sublette County, WY",Nov-17,$225K,-2.20%,-6.30%,11,-15.40%,-8.30%,3,-62.50%,-66.70%,62,-12.70%,-1.60%,145,42,-63,93.60%,,-3.30%
"Sublette County, WY",Dec-17,$220K,-2.20%,-6.20%,9,-18.20%,12.50%,4,33.30%,0.00%,59,-4.80%,3.50%,114,-31,-24,94.10%,0.50%,
"Sublette County, WY",Jan-18,$155K,-29.60%,-29.60%,6,-33.30%,-14.30%,8,100.00%,-11.10%,56,-5.10%,-5.10%,181,67,2,,,
"Sublette County, WY",Feb-18,$349K,125.50%,64.70%,6,0.00%,-40.00%,8,0.00%,60.00%,55,-1.80%,-1.80%,143,-38,-36,,,
"Sublette County, WY",Mar-18,$227K,-35.00%,26.30%,8,33.30%,0.00%,6,-25.00%,-68.40%,53,-3.60%,-22.10%,254,111,-4,,,
"Sublette County, WY",Apr-18,$199K,-12.40%,-20.30%,11,37.50%,22.20%,12,100.00%,-7.70%,54,1.90%,-21.70%,199,-55,-50,86.50%,,
"Sublette County, WY",May-18,$238K,19.70%,2.10%,11,0.00%,-26.70%,13,8.30%,-18.80%,57,5.60%,-19.70%,162,-37,89,,,
"Sublette County, WY",Jun-18,$327K,37.50%,33.20%,20,81.80%,53.80%,8,-38.50%,-42.90%,47,-17.50%,-34.70%,187,25,87,,,
"Sublette County, WY",Jul-18,$240K,-26.60%,2.20%,19,-5.00%,90.00%,15,87.50%,0.00%,42,-10.60%,-44.70%,179,-8,115,,,
"Sublette County, WY",Aug-18,$218K,-9.20%,-7.20%,9,-52.60%,-47.10%,12,-20.00%,-33.30%,48,14.30%,-36.00%,159,-20,48,,,
"Sublette County, WY",Sep-18,$223K,2.30%,-18.50%,8,-11.10%,-33.30%,6,-50.00%,-40.00%,43,-10.40%,-41.90%,53,-106,-108,,,
"Sublette County, WY",Oct-18,$259K,16.30%,12.80%,10,25.00%,-23.10%,10,66.70%,25.00%,43,0.00%,-39.40%,77,24,-26,,,
"Sublette County, WY",Nov-18,$255K,-1.70%,13.30%,13,30.00%,18.20%,8,-20.00%,166.70%,42,-2.30%,-32.30%,105,28,-40,,,
"Sublette County, WY",Dec-18,$170K,-33.30%,-22.70%,5,-61.50%,-44.40%,6,-25.00%,50.00%,42,0.00%,-28.80%,67,-38,-47,,,
"Sublette County, WY",Jan-19,$280K,64.70%,80.80%,3,-40.00%,-50.00%,5,-16.70%,-37.50%,43,2.40%,-23.20%,57,-10,-124,,,
"Sublette County, WY",Feb-19,$190K,-32.30%,-45.70%,9,200.00%,50.00%,10,100.00%,25.00%,48,11.60%,-12.70%,241,184,98,86.80%,,
"Sublette County, WY",Mar-19,$238K,25.30%,4.60%,9,0.00%,12.50%,16,60.00%,166.70%,56,16.70%,5.70%,199,-42,-55,94.70%,7.90%,
"Sublette County, WY",Apr-19,$342K,44.00%,72.10%,6,-33.30%,-45.50%,19,18.80%,58.30%,68,21.40%,25.90%,152,-47,-47,,,
"Sublette County, WY",May-19,$349K,2.10%,46.70%,9,50.00%,-18.20%,11,-42.10%,-15.40%,67,-1.50%,17.50%,57,-95,-105,,,
"Sublette County, WY",Jun-19,$220K,-37.00%,-32.80%,17,88.90%,-15.00%,16,45.50%,100.00%,67,0.00%,42.60%,109,52,-78,96.00%,,
"Sublette County, WY",Jul-19,$262K,19.00%,9.00%,10,-41.20%,-47.40%,15,-6.30%,0.00%,72,7.50%,71.40%,166,57,-13,88.10%,-7.90%,
"Sublette County, WY",Aug-19,$343K,30.90%,57.10%,8,-20.00%,-11.10%,7,-53.30%,-41.70%,70,-2.80%,45.80%,77,-89,-82,,,
"Sublette County, WY",Sep-19,$207K,-39.50%,-7.10%,8,0.00%,0.00%,7,0.00%,16.70%,72,2.90%,67.40%,336,259,283,,,
"Sublette County, WY",Oct-19,$327K,57.80%,26.00%,16,100.00%,60.00%,10,42.90%,0.00%,67,-6.90%,55.80%,170,-166,93,97.70%,,
"Sublette County, WY",Nov-19,$289K,-11.60%,13.30%,16,0.00%,23.10%,8,-20.00%,0.00%,60,-10.40%,42.90%,140,-30,35,85.40%,-12.30%,
"Sublette County, WY",Dec-19,$242K,-16.10%,42.60%,14,-12.50%,180.00%,6,-25.00%,0.00%,52,-13.30%,23.80%,228,88,161,,,
